Sensor,Date,Track,Frame,Location,Heading,Polarization,Centre Lat,Centre Lon,Look Angle,RSR
PALSAR,20070108,460,78.00,"Ordos, Inner Mongolia, China",A,HH,39.361535,109.797647,34.3,32
PALSAR,20070711,460,78.00,"Ordos, Inner Mongolia, China",A,HH,39.361731,109.826308,34.3,16
PALSAR,20070826,460,78.00,"Ordos, Inner Mongolia, China",A,HH,39.360783,109.82634,34.3,16
PALSAR,20071011,460,78.00,"Ordos, Inner Mongolia, China",A,HH,39.361477,109.834629,34.3,16
PALSAR,20080111,460,78.00,"Ordos, Inner Mongolia, China",A,HH,39.362413,109.845282,34.3,32
PALSAR,20080226,460,78.00,"Ordos, Inner Mongolia, China",A,HH,39.362441,109.852356,34.3,32
PALSAR,20080412,460,78.00,"Ordos, Inner Mongolia, China",A,HH,39.36112,109.851946,34.3,32
PALSAR,20080528,460,78.00,"Ordos, Inner Mongolia, China",A,HH,39.362133,109.853942,34.3,16
PALSAR,20080713,460,78.00,"Ordos, Inner Mongolia, China",A,HH,39.359802,109.808575,34.3,16
PALSAR,20090113,460,78.00,"Ordos, Inner Mongolia, China",A,HH,39.360527,109.799679,34.3,32
PALSAR,20090228,460,78.00,"Ordos, Inner Mongolia, China",A,HH,39.361527,109.806133,34.3,32
PALSAR,20090716,460,78.00,"Ordos, Inner Mongolia, China",A,HH,39.360679,109.812144,34.3,16
PALSAR,20090831,460,78.00,"Ordos, Inner Mongolia, China",A,HH,39.360946,109.816887,34.3,16
PALSAR,20091016,460,78.00,"Ordos, Inner Mongolia, China",A,HH,39.361634,109.822902,34.3,16
PALSAR,20100116,460,78.00,"Ordos, Inner Mongolia, China",A,HH,39.360978,109.825835,34.3,32
PALSAR,20100303,460,78.00,"Ordos, Inner Mongolia, China",A,HH,39.361849,109.839558,34.3,32
PALSAR,20100719,460,78.00,"Ordos, Inner Mongolia, China",A,HH,39.361429,109.842511,34.3,16
PALSAR,20100903,460,78.00,"Ordos, Inner Mongolia, China",A,HH,39.361704,109.845559,34.3,16
PALSAR,20101019,460,78.00,"Ordos, Inner Mongolia, China",A,HH,39.361271,109.843858,34.3,16
PALSAR,20110119,460,78.00,"Ordos, Inner Mongolia, China",A,HH,39.362413,109.85974,34.3,32
