Sensor,Btemp,Bperp,Mst Date,Slv Date,Track,Mst Frame,Slv Frame,Centre Lat,Centre Lon,Look Angle,Heading,Polarization,Results
PALSAR,276,4180.08,20071230,"20081001",370,649.00,649.00,-34.372641,150.63525,34.3,A,HH,"http://129.94.167.40/Null"
PALSAR,230,4166.6,20080214,"20081001",370,649.00,649.00,-34.372137,150.634328,34.3,A,HH,"http://129.94.167.40/Null"
PALSAR,138,4774.26,20080516,"20081001",370,649.00,649.00,-34.368312,150.644686,34.3,A,HH,"http://129.94.167.40/Null"
PALSAR,276,4180.02,20071230,"20081001",370,649.00,649.00,-34.371999,150.63503,34.3,A,HH,"http://129.94.167.40/Null"
PALSAR,184,4811.51,20080331,"20081001",370,649.00,649.00,-34.37365,150.631722,34.3,A,HH,"http://129.94.167.40/Null"
PALSAR,138,4773.65,20080516,"20081001",370,649.00,649.00,-34.36318,150.642921,34.3,A,HH,"http://129.94.167.40/Null"
PALSAR,138,4774.26,20080516,"20081001",370,649.00,649.00,-34.368312,150.644686,34.3,A,HV,"http://129.94.167.40/Null"
PALSAR,138,4773.65,20080516,"20081001",370,649.00,649.00,-34.36318,150.642921,34.3,A,HV,"http://129.94.167.40/Null"
PALSAR,184,4710.5,20080516,"20081116",370,649.00,649.00,-34.368312,150.644686,34.3,A,HH,"http://129.94.167.40/Null"
PALSAR,230,4748.08,20080331,"20081116",370,649.00,649.00,-34.37365,150.631722,34.3,A,HH,"http://129.94.167.40/Null"
PALSAR,184,4709.95,20080516,"20081116",370,649.00,649.00,-34.36318,150.642921,34.3,A,HH,"http://129.94.167.40/Null"
